SMILES,log_solubility
CC(C)(C)c1cc(S(=O)(=O)O)c(Cl)c2c1C(=O)c1ccccc1C2=O,1.864024766
O=C1c2ccccc2C(=O)c2c1c(S(=O)(=O)O)cc(O)c2S(=O)(=O)O,1.081971876
O=C1c2ccccc2C(=O)c2c1c(Br)cc(S(=O)(=O)O)c2C(=O)O,1.148644587
Cc1cc(Cl)c(N)c2c1C(=O)c1ccccc1C2=O,1.962832524
Cc1c(C(=O)O)cc(O)c2c1C(=O)c1ccccc1C2=O,1.903668
Cc1cc(O)c2c(c1C)C(=O)c1ccccc1C2=O,2.249645316
Cc1c(S(=O)(=O)O)cc(O)c2c1C(=O)c1ccccc1C2=O,1.665808596
O=C1c2ccccc2C(=O)c2c(Br)c(Cl)cc(S(=O)(=O)O)c21,1.253458896
CC(C)(C)c1cc(O)c2c(c1C(=O)O)C(=O)c1ccccc1C2=O,2.1469333
Nc1ccc2c(c1)C(=O)c1cc(S(=O)(=O)O)ccc1C2=O,-0.54549489
Cc1cc(N)c(O)c2c1C(=O)c1ccccc1C2=O,2.007881653
Nc1cc(Br)c(C(=O)O)c2c1C(=O)c1ccccc1C2=O,1.490717645
CC(C)(C)c1cc(O)c2c(c1Cl)C(=O)c1ccccc1C2=O,2.251747608
O=C(O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,1.206338958
